"country","iso3c","genus_cat","Exports","Imports","Reexports","perc_imp_reexport","perc_exports_reexport"
"Nicaragua","NIC","Pelagic Fish",941,4766,0,0,0
"Niger","NER","Marine Fish; Other",26,737,0,0,0
"Niger","NER","Moluscs; Other",2,NA,0,NA,0
"Niger","NER","Pelagic Fish",300,2095,0,0,0
"Nigeria","NGA","Crustaceans",5521,162,0,0,0
"Nigeria","NGA","Demersal Fish",1,129160,0,0,0
"Nigeria","NGA","Marine Fish; Other",524,17645,0,0,0
"Nigeria","NGA","Moluscs; Other",4,3,0,0,0
"North Macedonia","MKD","Aquatic Animals; Others",7,7,0,0,0
"North Macedonia","MKD","Cephalopods",25,142,0,0,0
"North Macedonia","MKD","Crustaceans",35,74,0,0,0
"North Macedonia","MKD","Demersal Fish",495,4620,0,0,0
"North Macedonia","MKD","Freshwater Fish",67,689,0,0,0
"North Macedonia","MKD","Marine Fish; Other",94,182,0,0,0
"North Macedonia","MKD","Pelagic Fish",42,3142,0,0,0
"Norway","NOR","Aquatic Animals; Others",4,493,0,0,0
"Norway","NOR","Cephalopods",11,264,0,0,0
"Norway","NOR","Crustaceans",38861,18422,0,0,0
"Norway","NOR","Demersal Fish",607095,38340,0,0,0
"Norway","NOR","Freshwater Fish",1152563,1764,0,0,0
"Norway","NOR","Marine Fish; Other",190839,211993,0,0,0
"Norway","NOR","Moluscs; Other",693,915,0,0,0
"Norway","NOR","Pelagic Fish",839687,378886,0,0,0
"Oman","OMN","Aquatic Animals; Others",2,4,0,0,0
"Oman","OMN","Cephalopods",3960,652,0,0,0
"Oman","OMN","Moluscs; Other",1487,70,0,0,0
"Pakistan","PAK","Aquatic Animals; Others",32,71,0,0,0
"Pakistan","PAK","Cephalopods",9,11,0,0,0
"Pakistan","PAK","Crustaceans",39930,12,0,0,0
"Pakistan","PAK","Demersal Fish",72526,169,0,0,0
"Pakistan","PAK","Freshwater Fish",41136,11850,0,0,0
"Pakistan","PAK","Marine Fish; Other",21461,196,0,0,0
"Pakistan","PAK","Moluscs; Other",874,NA,0,NA,0
"Pakistan","PAK","Pelagic Fish",22027,39,0,0,0
"Palau","PLW","Marine Fish; Other",2,20,0,0,0
"Palau","PLW","Moluscs; Other",3,11,0,0,0
"Palau","PLW","Pelagic Fish",395,368,0,0,0
"Palestine","PSE","Pelagic Fish",115,2867,0,0,0
"Panama","PAN","Aquatic Animals; Others",162,43,0,0,0
"Panama","PAN","Cephalopods",152,2049,0,0,0
"Panama","PAN","Crustaceans",7319,809,0,0,0
"Panama","PAN","Demersal Fish",4831,437,0,0,0
"Panama","PAN","Freshwater Fish",4443,4787,0,0,0
"Panama","PAN","Marine Fish; Other",9117,2505,0,0,0
"Panama","PAN","Moluscs; Other",128,367,0,0,0
"Panama","PAN","Pelagic Fish",32326,12167,0,0,0
"Papua New Guinea","PNG","Aquatic Animals; Others",672,2,0,0,0
"Papua New Guinea","PNG","Cephalopods",2,76,0,0,0
"Papua New Guinea","PNG","Crustaceans",791,66,0,0,0
"Papua New Guinea","PNG","Demersal Fish",35,150,0,0,0
"Papua New Guinea","PNG","Marine Fish; Other",3344,2551,0,0,0
"Papua New Guinea","PNG","Pelagic Fish",95559,32231,0,0,0
"Paraguay","PRY","Freshwater Fish",9,435,0,0,0
"Paraguay","PRY","Marine Fish; Other",96,56,0,0,0
"Peru","PER","Aquatic Animals; Others",117,15,0,0,0
"Peru","PER","Cephalopods",176062,1367,0,0,0
"Peru","PER","Crustaceans",36420,7651,0,0,0
"Peru","PER","Demersal Fish",28571,3046,0,0,0
"Peru","PER","Freshwater Fish",6619,15254,0,0,0
"Peru","PER","Marine Fish; Other",200241,16591,0,0,0
"Peru","PER","Moluscs; Other",5451,132,0,0,0
"Peru","PER","Pelagic Fish",1108931,99388,0,0,0
"Philippines","PHL","Aquatic Animals; Others",2605,671,0,0,0
"Philippines","PHL","Cephalopods",9016,33897,0,0,0
"Philippines","PHL","Crustaceans",30172,4513,0,0,0
"Philippines","PHL","Demersal Fish",59,9427,0,0,0
"Philippines","PHL","Freshwater Fish",11275,57820,0,0,0
"Philippines","PHL","Marine Fish; Other",37091,31214,0,0,0
"Philippines","PHL","Moluscs; Other",5975,591,0,0,0
"Philippines","PHL","Pelagic Fish",220540,377546,0,0,0
"Poland","POL","Aquatic Animals; Others",329,305,0,0,0
"Poland","POL","Cephalopods",297,970,0,0,0
"Poland","POL","Crustaceans",1396,7231,0,0,0
"Poland","POL","Demersal Fish",157317,246821,0,0,0
"Poland","POL","Freshwater Fish",146264,231479,0,0,0
"Poland","POL","Marine Fish; Other",98849,44569,0,0,0
"Poland","POL","Moluscs; Other",318,1396,0,0,0
"Poland","POL","Pelagic Fish",104765,216075,0,0,0
