"species","nutrient","nutrient_units","value","ssd","count","se","lower_ci","upper_ci","taxa_match","genus_cat"
"chamelea gallina","Calcium","mg",223.7165,92.8164708893847,18,21.8770519905626,178.965321579908,271.278411753425,"species","Moluscs; Other"
"donax trunculus","Calcium","mg",328.26245,131.62907018024,12,37.9980395508708,254.944478835958,422.210721164042,"species","Moluscs; Other"
"hexaplex trunculus","Calcium","mg",674.4,NA,1,NA,NA,NA,"species","Moluscs; Other"
"littorina littorea","Calcium","mg",165,NA,1,NA,NA,NA,"species","Moluscs; Other"
"ostrea edulis","Calcium","mg",140,NA,1,NA,NA,NA,"species","Moluscs; Other"
"ruditapes philippinarum","Calcium","mg",66,NA,1,NA,NA,NA,"species","Moluscs; Other"
"esox lucius","Calcium","mg",26.5,62.5317904046649,18,14.7388843449581,17.6193388757904,79.811994457543,"species","Demersal Fish"
"microstomus kitt","Calcium","mg",26,NA,1,NA,NA,NA,"species","Demersal Fish"
"gadus morhua","Calcium","mg",14,8.49681154619855,31,1.52607240401958,13.2607637177881,19.4940749918893,"species","Pelagic Fish"
"rutilus rutilus","Calcium","mg",19.12406,4.05061429154641,5,1.81148978130598,12.1810920635772,22.2400959364228,"species","Pelagic Fish"
"sander lucioperca","Calcium","mg",52.5,2.12132034355964,2,1.5,33.440692895738,71.559307104262,"species","Pelagic Fish"
"scardinius erythrophthalmus","Calcium","mg",59.5,2.12132034355964,2,1.5,40.440692895738,78.559307104262,"species","Pelagic Fish"
"pandalus borealis","Calcium","mg",22.5,2.12132034355964,2,1.5,3.44069289573796,41.559307104262,"species","Crustaceans"
"chionoecetes opilio","Calcium","mg",58,45.254833995939,2,32,0,464.59855155759,"species","Crustaceans"
"paralithodes camtschaticus","Calcium","mg",103,35.9490380028914,3,20.7551867680775,2.03097232920493,180.635694337462,"species","Crustaceans"
"anarhichas lupus","Calcium","mg",6.4,0.565685424949238,2,0.4,1.31751810553012,11.4824818944699,"species","Demersal Fish"
"brosme brosme","Calcium","mg",10,NA,1,NA,NA,NA,"species","Demersal Fish"
"hippoglossus hippoglossus","Calcium","mg",5,5.57257896881115,11,1.68019577765202,4.37447232705207,11.8618913093116,"species","Demersal Fish"
"perca fluviatilis","Calcium","mg",46.3,29.7864024340552,11,8.98093824802635,21.2494434713739,61.270998346808,"species","Demersal Fish"
"pollachius virens","Calcium","mg",19,26.6589572189161,5,11.922248110151,0,64.3014674083825,"species","Demersal Fish"
"reinhardtius hippoglossoides","Calcium","mg",5.5,3.63403226130293,7,1.37353508854189,2.69622357102625,9.41806214325947,"species","Demersal Fish"
"sebastes mentella","Calcium","mg",12,NA,1,NA,NA,NA,"species","Pelagic Fish"
"sebastes norvegicus","Calcium","mg",141,0,2,0,141,141,"species","Pelagic Fish"
"cyclopterus lumpus","Calcium","mg",7.9,NA,1,NA,NA,NA,"species","Pelagic Fish"
"salmo trutta","Calcium","mg",283.5,372.645273685311,2,263.5,0,3631.58494798203,"species","Pelagic Fish"
"salvelinus alpinus","Calcium","mg",15.5,14.6617415973228,6,5.98563094232995,4.78011249149061,35.5532208418427,"species","Freshwater Fish"
"callinectes sapidus","Calcium","mg",92,11.7345643293648,5,5.24785670536077,83.6296139376217,112.770386062378,"species","Crustaceans"
"archosargus probatocephalus","Calcium","mg",21,NA,1,NA,NA,NA,"species","Demersal Fish"
"trachinotus carolinus","Calcium","mg",22,NA,1,NA,NA,NA,"species","Pelagic Fish"
"crassostrea rhizophorae","Calcium","mg",118,NA,1,NA,NA,NA,"species","Moluscs; Other"
"saurida tumbil","Calcium","mg",475.26,NA,1,NA,NA,NA,"species","Demersal Fish"
"marsupenaeus japonicus","Calcium","mg",61,23.0651251893416,3,13.3166562369588,5.70305269091408,120.296947309086,"species","Crustaceans"
"metapenaeus affinis","Calcium","mg",185,NA,1,NA,NA,NA,"species","Crustaceans"
