"iso3c","nutrient","production_sector","nut_supply","consump"
"ASM","Vitamin A","Recreational",23895230.4474658,520.6084862324
"ASM","Vitamin A","Subsistence",5973807.61412415,130.15212155452
"ASM","Vitamin B12","Artisanal",396746.4909029,90.60902948882
"ASM","Vitamin B12","Industrial",1291209.8374536,186.7251332112
"ASM","Vitamin B12","Recreational",7437811.72039352,520.6084862324
"ASM","Vitamin B12","Subsistence",1859452.93010392,130.15212155452
"ASM","Zinc","Artisanal",63341.40588362,90.60902948882
"ASM","Zinc","Industrial",182804.10433216,186.7251332112
"ASM","Zinc","Recreational",1166887.91215033,520.6084862324
"ASM","Zinc","Subsistence",291721.978056424,130.15212155452
"ATG","Calcium","Artisanal",3978078554.28115,8646.82338654561
"ATG","Calcium","Import",598830510,9049.71
"ATG","Calcium","Recreational",310967061.35443,713.6332107216
"ATG","Calcium","Subsistence",3133236979.04127,4546.969365088
"ATG","DHA+EPA","Artisanal",3039447.81856823,8646.82338654561
"ATG","DHA+EPA","Import",7223652.41,9049.71
"ATG","DHA+EPA","Recreational",39438.3491322847,713.6332107216
"ATG","DHA+EPA","Subsistence",1504431.24165769,4546.969365088
"ATG","Iron","Artisanal",20783680.222421,8646.82338654561
"ATG","Iron","Import",18028894.34,9049.71
"ATG","Iron","Recreational",1704225.96383036,713.6332107216
"ATG","Iron","Subsistence",13871270.7389832,4546.969365088
"ATG","Vitamin A","Artisanal",197192272.881916,8646.82338654561
"ATG","Vitamin A","Import",209001985,9049.71
"ATG","Vitamin A","Recreational",5259540.07574644,713.6332107216
"ATG","Vitamin A","Subsistence",106154410.852392,4546.969365088
"ATG","Vitamin B12","Artisanal",97317416.5904741,8646.82338654561
"ATG","Vitamin B12","Import",56025050,9049.71
"ATG","Vitamin B12","Recreational",16678291.4608642,713.6332107216
"ATG","Vitamin B12","Subsistence",75175517.5713033,4546.969365088
"ATG","Zinc","Artisanal",32237124.3899016,8646.82338654561
"ATG","Zinc","Import",16894733.45,9049.71
"ATG","Zinc","Recreational",5031758.68122101,713.6332107216
"ATG","Zinc","Subsistence",20840870.1208479,4546.969365088
"AUS","Calcium","aquaculture",8276000484.07684,318514.389551474
"AUS","Calcium","Artisanal",9104099712.94573,55774.3150741286
"AUS","Calcium","Import",117628423126,1838962.6958
